Sort ID,Druckenbrod Sort ID,Key,APS call number,File name,Transaction number (on this page),APS Digital Library page image URL,APS notes,Druckenbrod notes,Date of entry,Time of entry as transcribed,Time of entry standardized,Wind direction as transcribed,Wind direction standardized,Temperature (Fahrenheit) as transcribed,Temperature (Fahrenheit) standardized,Daily temp high (Fahrenheit) as transcribed,Temp high entry time as transcribed,Temp high entry time standardized,Precipitation time,Precipitation type,Precipitation measurement (inches),Observer,Meteorological observations as transcribed,Cloudy,Fair,Smokey,Misty,Frost,Snow,Sleet,Overcast,Clear,Rain,Foggy,Hail,Thunder,Lightning,Hazy,Muddy,Natural Phenomena,Birds,Mammals,Reptiles/Amphibians,Insects/Arthropods,Fish/Aquatic,Plants,Leafing,Losing Leaves,Blooming,Planted,Harvested,Availability of produce,Trees,Seasonal Phenomena,Other observations transcribed
3675,4474, APS-275669-002_14,Mss.551.5.M26,275669-2,14,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,wind,1789-01-14,4 O'Clock,16:00,N/W,N/W,34,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
3676,4472, APS-275669-002_14,Mss.551.5.M26,275669-2,14,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-14,sunrise,0:00,S,S,27,,,,,,,,James Madison,overcast & sleet on the mountains,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,
3677,4476, APS-275669-002_15,Mss.551.5.M26,275669-2,15,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-15,2 O'Clock,14:00,,,32,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3678,4477, APS-275669-002_15,Mss.551.5.M26,275669-2,15,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,wind,1789-01-15,4 O'Clock,16:00,N/NW,N/NW,29,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3679,4475, APS-275669-002_15,Mss.551.5.M26,275669-2,15,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-15,sunrise,0:00,SE/NW,SE/NW,19,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3680,4479, APS-275669-002_16,Mss.551.5.M26,275669-2,16,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-16,4 O'Clock,16:00,S,S,35,,,,,,,,James Madison,overcast,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3681,4478, APS-275669-002_16,Mss.551.5.M26,275669-2,16,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,wind,1789-01-16,sunrise,0:00,Southerly/SE,S/SE,16,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
3682,4481, APS-275669-002_17,Mss.551.5.M26,275669-2,17,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-17,2 O'Clock,14:00,,,42,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3683,4482, APS-275669-002_17,Mss.551.5.M26,275669-2,17,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-17,4 O'Clock,16:00,W,W,39,,,,,,,,James Madison,flying clouds,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3684,4480, APS-275669-002_17,Mss.551.5.M26,275669-2,17,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-17,sunrise,0:00,SW,SW,30,,,,,,,,James Madison,overcast,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3685,4484, APS-275669-003_01,Mss.551.5.M26,275669-3,1,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-18,2 O'Clock,14:00,,,36,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3686,4485, APS-275669-003_01,Mss.551.5.M26,275669-3,1,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-18,4 O'Clock,16:00,S,S,36.5,,,,,,,,James Madison,thin clouds,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
